Vendor_ID,Vendor_Code,Price_Date,Exchange_Code,Price_Type,Outlier_Less_Than_3_Pct,Outlier_3_To_5_Pct,Outlier_Greater_Than_5_Pct,Total_Outliers,Vendor_Performance
V1,YAHOO,1/1/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/1/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/1/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/1/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/1/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/2/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/2/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/2/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/2/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/2/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/3/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/3/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/3/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/3/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/3/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/4/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/4/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/4/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/4/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/4/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/5/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/5/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/5/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/5/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/5/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/6/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/6/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/6/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/6/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/6/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/7/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/7/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/7/2025,NASDAQ,CLOSE,2,0,0,2,Good
